order_id,order_date,customer_id,customer_email,region,channel,sku,product_name,unit_price,quantity,discount,revenue,email_missing,order_year,order_month,order_dow,gross_revenue,discount_amt,customer_lifetime_revenue
O100001,2024-11-08,C0329,c0329@example.com,South,Retail,SKU-003,Gadget X,49.0,2,0.1,88.2,False,2024,2024-11,Friday,98.0,9.8,458.35
O100002,2024-11-27,C0280,c0280@example.com,South,Online,SKU-002,Widget B,29.5,1,0.2,23.6,False,2024,2024-11,Wednesday,29.5,5.9,57.03
O100003,2024-07-18,C0062,c0062@example.com,North,Retail,SKU-005,Thingamajig,12.49,2,0.0,24.98,False,2024,2024-07,Thursday,24.98,0.0,345.57
O100004,2024-05-28,C0185,c0185@example.com,North,Online,SKU-004,Gadget Y,79.99,7,0.2,447.94,False,2024,2024-05,Tuesday,559.93,111.99,1007.87
O100005,2024-09-08,C0125,c0125@example.com,South,Retail,SKU-001,Widget A,19.99,1,0.0,19.99,False,2024,2024-09,Sunday,19.99,0.0,438.96
O100006,2024-09-29,C0322,c0322@example.com,North,Online,SKU-005,Thingamajig,12.49,3,0.0,37.47,False,2024,2024-09,Sunday,37.47,0.0,265.44
O100008,2024-11-01,C0037,c0037@example.com,West,Retail,SKU-005,Thingamajig,12.49,1,0.0,12.49,False,2024,2024-11,Friday,12.49,0.0,1001.41
O100009,2025-02-01,C0094,c0094@example.com,North,Partner,SKU-004,Gadget Y,79.99,2,0.05,151.98,False,2025,2025-02,Saturday,159.98,8.0,892.92
O100011,2024-10-05,C0065,c0065@example.com,East,Partner,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-10,Saturday,79.99,0.0,-2.28
O100012,2024-06-01,C0243,c0243@example.com,South,Partner,SKU-002,Widget B,29.5,3,0.0,88.5,False,2024,2024-06,Saturday,88.5,0.0,312.08
O100013,2024-07-01,C0387,c0387@example.com,North,Online,SKU-001,Widget A,19.99,1,0.0,19.99,False,2024,2024-07,Monday,19.99,0.0,191.96
O100014,2024-02-08,C0281,c0281@example.com,East,Partner,SKU-001,Widget A,19.99,4,0.0,79.96,False,2024,2024-02,Thursday,79.96,0.0,104.94
O100015,2024-07-16,C0173,c0173@example.com,East,Online,SKU-005,Thingamajig,12.49,3,0.0,37.47,False,2024,2024-07,Tuesday,37.47,0.0,304.89
O100016,2024-06-15,C0076,c0076@example.com,North,Online,SKU-004,Gadget Y,79.99,6,0.1,431.95,False,2024,2024-06,Saturday,479.94,47.99,1066.48
O100017,2025-01-30,C0139,c0139@example.com,North,Retail,SKU-004,Gadget Y,79.99,5,0.0,399.95,False,2025,2025-01,Thursday,399.95,0.0,668.88
O100024,2024-05-06,C0164,c0164@example.com,West,Partner,SKU-001,Widget A,19.99,3,0.0,59.97,False,2024,2024-05,Monday,59.97,0.0,444.44
O100025,2024-01-13,C0332,c0332@example.com,South,Partner,SKU-004,Gadget Y,79.99,6,0.0,479.94,False,2024,2024-01,Saturday,479.94,0.0,608.9
O100026,2024-03-19,C0128,c0128@example.com,East,Partner,SKU-002,Widget B,29.5,2,0.0,59.0,False,2024,2024-03,Tuesday,59.0,0.0,440.38
O100027,2024-01-08,C0049,c0049@example.com,South,Partner,SKU-002,Widget B,29.5,2,0.2,-47.2,False,2024,2024-01,Monday,59.0,106.2,0.78
O100030,2024-09-10,C0299,c0299@example.com,South,Online,SKU-002,Widget B,29.5,1,0.0,29.5,False,2024,2024-09,Tuesday,29.5,0.0,454.43
