order_id,order_date,customer_id,customer_email,region,channel,sku,product_name,unit_price,quantity,discount,revenue
O100000,05-Oct-2024,C0294,c0294@example.com,North,,SKU-001,Widget A,19.99,3,0.0,59.97
O100001,11/08/2024,C0329,c0329@example.com,South,Retail,SKU-003,Gadget X,49.0,2,0.1,88.2
O100002,27-Nov-2024,C0280,c0280@example.com,SOUTH,Online,SKU-002,Widget B,29.5,1,0.2,23.6
O100003,07/18/2024,C0062,c0062@example.com,North,retail,SKU-005,Thingamajig,12.49,2,0.0,24.98
O100004,2024-05-28,C0185,c0185@example.com,North,Online,SKU-004,Gadget Y,79.99,7,0.2,447.94
O100005,2024-09-08,C0125,c0125@example.com,South,Retail,SKU-001,Widget A,19.99,1,0.0,19.99
O100006,2024-09-29,C0322,c0322@example.com,north ,Online,SKU-005,Thingamajig,12.49,3,0.0,37.47
O100007,2024-07-21,C0056,c0056@example.com,South,,SKU-005,Thingamajig,12.49,4,0.0,49.96
O100008,11/01/2024,C0037,c0037@example.com,West,Retail,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100009,2025-02-01,C0094,c0094@example.com,north ,Partner,SKU-004,Gadget Y,79.99,2,0.05,151.98
O100010,08/10/2024,C0164,c0164@example.com,,Retail,SKU-001,Widget A,19.99,3,0.0,59.97
O100011,05-Oct-2024,C0065,c0065@example.com,East,Partner,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100012,06/01/2024,C0243,c0243@example.com,South,Partner,SKU-002,Widget B,29.5,3,0.0,88.5
O100013,01-Jul-2024,C0387,c0387@example.com,North,online,SKU-001,Widget A,19.99,1,0.0,19.99
O100014,02/08/2024,C0281,c0281@example.com,East,Partner,SKU-001,Widget A,19.99,4,0.0,79.96
O100015,07/16/2024,C0173,c0173@example.com,East,Online,SKU-005,Thingamajig,12.49,3,0.0,37.47
O100016,06/15/2024,C0076,c0076@example.com,north ,Online,SKU-004,Gadget Y,79.99,6,0.1,431.95
O100017,01/30/2025,C0139,c0139@example.com,North,retail,SKU-004,Gadget Y,79.99,5,0.0,399.95
O100018,11/09/2024,C0268,c0268@example.com,,,SKU-003,Gadget X,49.0,2,0.0,98.0
O100019,06-Aug-2024,C0176,,,Partner,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100020,09-Aug-2024,C0048,c0048@example.com,South,,SKU-005,Thingamajig,12.49,5,0.0,62.45
O100021,2025-01-25,C0015,c0015@example.com,North,,SKU-001,Widget A,19.99,6,0.0,119.94
O100022,2024-05-06,C0249,c0249@example.com,,Partner,SKU-002,Widget B,29.5,7,0.2,165.2
O100023,2025-01-22,C0356,c0356@example.com,,Retail,SKU-001,Widget A,19.99,1,0.05,18.99
O100024,05/06/2024,C0164,c0164@example.com,West,Partner,SKU-001,Widget A,19.99,3,0.0,59.97
O100025,2024-01-13,C0332,c0332@example.com,SOUTH,Partner,SKU-004,Gadget Y,79.99,6,0.0,479.94
O100026,19-Mar-2024,C0128,c0128@example.com,East,Partner,SKU-002,Widget B,29.5,2,0.0,59.0
O100027,08-Jan-2024,C0049,c0049@example.com,SOUTH,Partner,SKU-002,Widget B,29.5,-2,0.2,-47.2
O100028,17-Nov-2024,C0330,c0330@example.com,north ,,SKU-001,Widget A,19.99,1,0.2,15.99
O100029,2024-07-22,C0382,c0382@example.com,north ,,SKU-002,Widget B,29.5,3,0.0,88.5
O100030,2024-09-10,C0299,c0299@example.com,South,online,SKU-002,Widget B,29.5,1,0.0,29.5
O100031,10-Sep-2024,C0008,c0008@example.com,East,,SKU-004,Gadget Y,79.99,6,0.0,479.94
O100032,31-Jul-2024,C0301,c0301@example.com,South,,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100033,2024-07-31,C0095,c0095@example.com,,Online,SKU-003,Gadget X,49.0,1,0.05,46.55
O100034,25-Aug-2024,C0128,c0128@example.com,,Online,SKU-002,Widget B,29.5,6,0.0,177.0
O100035,07/01/2024,C0009,c0009@example.com,West,Partner,SKU-003,Gadget X,49.0,4,0.0,196.0
O100036,2024-09-29,C0393,c0393@example.com,South,retail,SKU-001,Widget A,19.99,3,0.05,56.97
O100037,04/01/2024,C0228,c0228@example.com,South,,SKU-003,Gadget X,49.0,1,0.05,46.55
O100038,2024-02-10,C0162,c0162@example.com,West,,SKU-004,Gadget Y,79.99,1,0.2,63.99
O100039,08/19/2024,C0257,c0257@example.com,South,Partner,SKU-004,Gadget Y,79.99,4,0.2,255.97
O100040,12/09/2024,C0274,c0274@example.com,South,,SKU-002,Widget B,29.5,2,0.2,47.2
O100041,05/15/2024,C0147,c0147@example.com,north ,Partner,SKU-005,Thingamajig,12.49,2,0.05,23.73
O100042,01/14/2025,C0308,c0308@example.com,West,retail,SKU-005,Thingamajig,12.49,2,0.1,22.48
O100043,2024-11-02,C0115,c0115@example.com,East,Retail,SKU-004,Gadget Y,79.99,6,0.0,479.94
O100044,2024-02-22,C0249,c0249@example.com,north ,online,SKU-002,Widget B,29.5,1,0.2,23.6
O100045,06/11/2024,C0313,c0313@example.com,,Online,SKU-001,Widget A,19.99,1,0.1,17.99
O100046,2024-02-08,C0052,c0052@example.com,South,,SKU-001,Widget A,19.99,1,0.0,19.99
O100047,2024-07-26,C0240,c0240@example.com,,,SKU-002,Widget B,29.5,1,0.05,28.02
O100048,20-Sep-2024,C0084,c0084@example.com,north ,Online,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100049,2024-07-31,C0063,c0063@example.com,West,retail,SKU-004,Gadget Y,79.99,3,0.1,215.97
O100050,18-Oct-2024,C0144,c0144@example.com,north ,Partner,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100051,2024-06-18,C0340,c0340@example.com,,Online,SKU-005,Thingamajig,12.49,3,0.1,33.72
O100052,05-Jan-2024,C0173,c0173@example.com,SOUTH,retail,SKU-001,Widget A,19.99,1,0.05,18.99
O100053,08/05/2024,C0398,c0398@example.com,,,SKU-003,Gadget X,49.0,1,0.0,49.0
O100054,02/03/2025,C0249,c0249@example.com,North,Partner,SKU-003,Gadget X,49.0,2,0.05,93.1
O100055,2024-11-19,C0364,c0364@example.com,South,online,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100056,2024-08-30,C0115,c0115@example.com,SOUTH,,SKU-001,Widget A,19.99,-2,0.1,-35.98
O100057,11/23/2024,C0017,c0017@example.com,north ,Retail,SKU-003,Gadget X,49.0,4,0.2,156.8
O100058,2024-03-03,C0007,c0007@example.com,North,,SKU-005,Thingamajig,12.49,5,0.0,62.45
O100059,2024-01-02,C0353,c0353@example.com,,,SKU-003,Gadget X,49.0,6,0.0,294.0
O100060,27-Jan-2025,C0102,c0102@example.com,north ,Retail,SKU-005,Thingamajig,12.49,4,0.0,49.96
O100061,2024-08-03,C0260,c0260@example.com,East,Retail,SKU-002,Widget B,29.5,3,0.05,84.08
O100062,2024-07-08,C0379,c0379@example.com,,retail,SKU-005,Thingamajig,12.49,3,0.2,29.98
O100063,02-Mar-2024,C0087,c0087@example.com,north ,Partner,SKU-001,Widget A,19.99,1,0.0,19.99
O100064,07/08/2024,C0140,c0140@example.com,North,Online,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100065,2024-05-17,C0173,c0173@example.com,,Partner,SKU-003,Gadget X,49.0,2,0.05,93.1
O100066,12/20/2024,C0293,c0293@example.com,North,Retail,SKU-002,Widget B,29.5,8,0.05,224.2
O100067,23-Jan-2024,C0336,c0336@example.com,North,Online,SKU-005,Thingamajig,12.49,3,0.05,35.6
O100068,2024-05-05,C0175,c0175@example.com,,Online,SKU-004,Gadget Y,79.99,2,0.1,143.98
O100069,07/22/2024,C0383,c0383@example.com,,Retail,SKU-005,Thingamajig,12.49,5,0.1,56.21
